, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
166,,Nan,50,0.003954848445984645,train,83,0.3,0.0001,0.24019215372297836,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
167,,Nan,50,0.003857083947696173,test,83,0.3,0.0001,0.24019215372297836,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
168,,Nan,50,0.004652815665376815,train,84,0.3,0.0001,0.2396166134185303,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
169,,Nan,50,0.004614233785371922,test,84,0.3,0.0001,0.2396166134185303,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
170,,Nan,50,0.004004066683342923,train,85,0.3,0.0001,0.2390438247011952,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
171,,Nan,50,0.003898048721177124,test,85,0.3,0.0001,0.2390438247011952,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
172,,Nan,50,0.004270370616285382,train,86,0.3,0.0001,0.23847376788553254,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
173,,Nan,50,0.004211549442746785,test,86,0.3,0.0001,0.23847376788553254,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
174,,Nan,50,0.004324351179013295,train,87,0.3,0.0001,0.23790642347343374,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
175,,Nan,50,0.0042667144338334574,test,87,0.3,0.0001,0.23790642347343374,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
176,,Nan,50,0.004059927120352853,train,88,0.3,0.0001,0.2373417721518987,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
177,,Nan,50,0.003936554559272497,test,88,0.3,0.0001,0.2373417721518987,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
178,,Nan,50,0.004332687216420307,train,89,0.3,0.0001,0.2367797947908445,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
179,,Nan,50,0.0042750285789240556,test,89,0.3,0.0001,0.2367797947908445,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
180,,Nan,50,0.004050259131129228,train,90,0.3,0.0001,0.23622047244094482,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
181,,Nan,50,0.003940562362056742,test,90,0.3,0.0001,0.23622047244094482,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
